Thermal Cycle Test,Logger Rev-1.0
Operator,11333
11333
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161013_1240
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
1:53:20.413 PM 10/13/2016,1.211111,-32.175437,-35.452224,-54.827493,-54.420397,24.182816
1:53:40.412 PM 10/13/2016,1.216667,-32.454520,-35.713063,-55.382152,-54.934282,24.373114
1:54:00.413 PM 10/13/2016,1.222222,-32.786442,-35.931723,-54.619735,-54.537158,24.525936
1:54:20.413 PM 10/13/2016,1.227778,-33.031464,-36.143371,-54.397148,-54.293553,24.576206
1:54:40.413 PM 10/13/2016,1.233334,-33.324757,-36.409381,-55.246349,-54.912992,24.579653
1:55:00.414 PM 10/13/2016,1.238889,-33.548832,-36.676067,-55.188207,-54.986377,24.504276
1:55:20.414 PM 10/13/2016,1.244445,-33.777548,-36.856669,-54.293818,-54.305792,24.731594
1:55:40.414 PM 10/13/2016,1.250001,-34.026187,-37.065465,-54.918312,-54.696350,24.703588
1:56:00.412 PM 10/13/2016,1.255556,-34.316678,-37.330586,-55.613154,-55.144612,24.741285
1:56:20.415 PM 10/13/2016,1.261112,-34.555379,-37.535378,-54.849074,-54.763356,24.786603
1:56:40.412 PM 10/13/2016,1.266667,-34.781714,-37.713930,-54.593829,-54.608214,24.820734
1:57:00.414 PM 10/13/2016,1.272223,-35.076588,-37.953341,-55.460362,-55.134969,24.899012
1:57:20.414 PM 10/13/2016,1.277778,-35.283745,-38.154556,-55.516980,-55.210858,24.532074
1:57:40.413 PM 10/13/2016,1.283334,-35.454542,-38.324280,-53.597863,-53.983502,24.352967
1:58:00.413 PM 10/13/2016,1.288889,-35.686655,-38.508495,-54.306472,-54.216202,24.546713
1:58:20.413 PM 10/13/2016,1.294445,-35.957644,-38.727766,-55.052364,-54.850268,24.677495
1:58:40.414 PM 10/13/2016,1.300000,-36.174269,-38.903578,-54.472995,-54.474368,24.535859
1:59:00.412 PM 10/13/2016,1.305556,-36.384751,-39.054824,-54.200115,-54.220939,24.677457
1:59:20.414 PM 10/13/2016,1.311112,-36.588230,-39.227100,-54.983214,-54.682211,24.732159
1:59:40.412 PM 10/13/2016,1.316667,-36.755886,-39.414558,-54.844127,-54.657607,24.634607
2:00:00.414 PM 10/13/2016,1.322223,-36.962133,-39.563582,-54.356918,-54.365996,24.617057
2:00:20.414 PM 10/13/2016,1.327778,-37.169426,-39.770749,-54.861056,-54.677899,24.644918
2:00:40.412 PM 10/13/2016,1.333333,-37.411651,-39.975368,-54.922763,-54.751145,24.704854
2:01:00.413 PM 10/13/2016,1.338889,-37.584652,-40.139035,-54.597698,-54.590012,24.657543
2:01:20.413 PM 10/13/2016,1.344445,-37.746209,-40.297170,-54.837210,-54.737749,24.716548
2:01:40.415 PM 10/13/2016,1.350001,-37.967170,-40.499344,-54.808522,-54.698658,24.675545
2:02:00.412 PM 10/13/2016,1.355556,-38.140860,-40.671434,-54.762581,-54.667863,24.740827
2:02:20.414 PM 10/13/2016,1.361112,-38.346840,-40.831811,-54.977924,-54.797894,24.665876
2:02:40.412 PM 10/13/2016,1.366667,-38.562199,-41.020894,-55.030889,-54.818512,24.728843
2:03:00.414 PM 10/13/2016,1.372223,-38.788411,-41.200988,-54.967464,-54.842234,24.815511
2:03:20.413 PM 10/13/2016,1.377778,-38.970886,-41.383433,-54.962461,-54.827328,24.855832
2:03:40.413 PM 10/13/2016,1.383334,-39.160107,-41.522729,-55.035965,-54.860517,24.686916
2:04:00.413 PM 10/13/2016,1.388889,-39.326160,-41.675220,-55.169910,-54.933554,24.680763
2:04:20.413 PM 10/13/2016,1.394445,-39.497244,-41.832167,-55.180706,-54.943545,24.858690
2:04:40.413 PM 10/13/2016,1.400000,-39.686933,-41.982926,-55.052919,-54.893411,24.878062
2:05:00.413 PM 10/13/2016,1.405556,-39.855934,-42.125136,-55.137804,-54.952929,24.872174
2:05:20.413 PM 10/13/2016,1.411112,-40.048301,-42.294578,-55.302587,-55.040200,24.745889
2:05:40.414 PM 10/13/2016,1.416667,-40.210137,-42.446516,-55.308466,-55.035781,24.685359
2:06:00.414 PM 10/13/2016,1.422223,-40.376136,-42.577000,-55.254060,-55.005894,24.668785
2:06:20.414 PM 10/13/2016,1.427778,-40.519687,-42.709226,-55.375374,-55.118951,24.722289
2:06:40.414 PM 10/13/2016,1.433334,-40.655006,-42.850294,-55.401923,-55.131205,24.416180
2:07:00.412 PM 10/13/2016,1.438889,-40.749863,-42.936120,-55.033814,-54.930807,24.394227
